N,P,K,temperature,humidity,ph,rainfall,label
82.16,47.78,40.06,27.25,89.88,5.49,231.99,Rice
73.38,52.83,39.53,23.3,89.39,6.72,179.99,Rice
76.65,44.53,40.05,26.59,89.02,5.81,259.42,Rice
101.22,53.95,36.8,22.65,92.25,6.05,241.64,Rice
87.75,41.71,42.28,17.83,83.66,6.24,178.21,Rice
96.32,38.56,40.85,23.73,92.9,5.74,268.62,Rice
80.1,41.37,44.23,23.85,85.25,6.38,210.55,Rice
81.14,51.64,48.45,21.33,95.5,5.52,219.31,Rice
85.88,49.26,40.16,23.14,85.65,6.1,256.86,Rice
83.57,43.17,45.87,24.04,90.55,6.62,193.91,Rice
74.4,52.17,44.79,23.46,87.94,6.89,202.82,Rice
85.47,46.24,41.68,25.42,90.6,6.7,273.96,Rice
80.21,51.76,41.34,24.07,87.01,6.39,247.32,Rice
71.82,60.58,38.73,21.38,91.84,6.69,248.4,Rice
86.28,47.42,39.14,23.63,84.96,6.76,219.49,Rice
71.75,45.49,44.05,22.51,84.42,6.45,234.19,Rice
74.93,44.56,43.37,20.97,82.22,6.04,217.0,Rice
83.11,56.72,45.72,23.22,87.43,5.92,224.31,Rice
77.11,49.52,39.4,24.41,93.25,6.3,240.06,Rice
86.9,44.99,43.34,23.52,87.87,6.02,225.92,Rice
84.98,56.57,46.1,27.27,84.62,6.72,231.88,Rice
101.9,42.45,39.35,22.45,79.54,6.13,196.53,Rice
81.5,49.64,49.54,25.16,85.34,5.97,243.45,Rice
66.8,58.95,46.92,22.68,81.08,6.93,220.7,Rice
92.38,37.53,40.25,23.51,87.68,6.16,248.36,Rice
69.32,46.61,42.95,24.4,90.17,5.87,167.47,Rice
92.78,49.58,39.69,26.21,87.93,6.85,227.53,Rice
100.61,58.47,41.57,25.2,89.92,6.93,188.82,Rice
86.86,54.12,35.9,21.43,79.85,6.24,251.91,Rice
95.02,47.96,48.61,21.08,81.11,6.33,239.4,Rice
79.67,34.58,42.17,21.22,90.01,6.51,189.75,Rice
74.86,40.88,42.26,25.17,83.8,6.56,205.12,Rice
72.07,46.83,38.62,22.53,83.01,7.19,226.32,Rice
73.0,48.84,42.08,23.11,89.8,6.67,205.11,Rice
74.24,45.78,33.87,20.85,92.63,7.05,215.66,Rice
85.77,49.45,54.05,25.46,87.02,5.94,164.76,Rice
82.03,42.77,37.17,22.37,83.44,7.07,258.06,Rice
79.92,56.75,42.79,21.99,93.21,6.58,186.1,Rice
78.1,42.03,37.31,25.12,94.66,5.76,246.11,Rice
73.49,44.46,40.28,21.99,87.68,6.0,235.14,Rice
79.5,46.01,39.1,22.49,90.33,6.56,188.34,Rice
80.99,52.2,36.24,24.45,85.02,6.59,196.38,Rice
61.95,37.33,42.68,23.95,84.11,6.62,162.69,Rice
79.34,39.93,40.06,23.58,84.27,6.19,262.74,Rice
74.23,52.72,38.26,24.43,92.91,5.3,195.12,Rice
85.77,46.23,43.89,22.44,87.82,6.28,268.79,Rice
82.54,49.61,40.96,22.65,85.88,6.52,209.21,Rice
82.9,60.47,45.77,22.93,92.0,6.18,148.57,Rice
69.92,35.81,41.18,23.53,93.79,6.49,216.78,Rice
88.29,33.68,43.38,24.85,81.96,6.84,237.69,Rice
75.85,51.45,51.02,23.82,88.43,6.15,193.13,Rice
88.3,42.15,42.77,22.66,89.3,6.49,263.91,Rice
74.9,45.81,38.83,22.72,88.91,6.67,190.42,Rice
88.7,55.97,44.05,26.78,84.6,5.82,158.3,Rice
94.96,51.59,42.29,23.99,83.28,7.39,229.85,Rice
81.09,52.04,44.3,23.89,84.54,6.55,295.58,Rice
93.45,57.46,40.58,21.77,87.03,6.37,266.03,Rice
63.08,57.06,41.91,22.75,83.7,5.65,255.87,Rice
80.73,39.44,37.64,22.91,93.76,6.24,168.63,Rice
77.54,45.8,32.39,23.4,86.63,6.65,294.34,Rice
91.27,45.82,38.35,28.0,87.72,6.36,224.1,Rice
81.98,46.6,40.35,22.54,87.38,6.12,198.27,Rice
81.06,45.91,48.14,18.86,91.59,6.88,147.25,Rice
76.57,45.18,37.22,22.14,83.34,7.09,260.09,Rice
92.72,52.01,38.27,22.58,89.34,5.83,251.74,Rice
77.6,45.16,45.17,24.28,86.15,6.84,184.46,Rice
86.16,51.21,41.34,24.07,82.81,6.74,218.07,Rice
74.77,54.06,39.86,21.04,81.66,6.61,176.98,Rice
97.55,34.49,48.86,23.87,87.14,6.12,239.97,Rice
79.62,54.4,42.93,23.76,86.14,6.33,236.54,Rice
62.9,39.07,45.29,23.8,86.81,6.36,238.03,Rice
74.6,42.64,43.23,21.79,89.03,5.63,263.59,Rice
84.73,49.1,46.19,26.41,91.3,5.57,177.02,Rice
73.75,47.66,44.44,22.23,88.2,6.03,202.07,Rice
65.93,41.73,37.43,21.79,91.45,5.95,323.71,Rice
84.93,48.66,39.28,24.73,85.34,6.4,321.0,Rice
79.04,54.68,39.86,23.44,94.14,6.08,292.97,Rice
87.08,43.98,44.87,25.2,89.83,5.68,197.73,Rice
77.52,47.03,44.83,23.81,82.49,6.51,247.9,Rice
85.6,54.25,45.63,24.3,87.24,5.64,241.11,Rice
82.08,49.2,37.71,21.61,91.45,6.33,250.56,Rice
80.28,47.69,46.02,22.6,87.86,6.15,208.71,Rice
76.91,48.89,40.7,25.7,84.15,6.27,208.51,Rice
94.47,48.73,46.37,20.9,88.5,6.73,228.09,Rice
90.65,44.27,47.79,27.52,86.14,6.16,279.5,Rice
95.8,44.23,40.92,23.01,82.46,5.96,187.34,Rice
72.32,47.28,43.38,26.21,83.76,6.77,216.98,Rice
79.51,53.37,17.19,23.36,65.83,6.75,88.61,Maize
104.55,46.81,18.67,21.1,62.22,6.18,99.86,Maize
94.21,47.15,17.92,23.56,62.24,6.82,87.54,Maize
64.84,57.74,24.49,21.12,63.06,6.64,89.18,Maize
86.59,60.05,19.56,20.7,58.1,6.13,84.59,Maize
97.95,47.41,20.56,22.46,70.94,7.76,78.36,Maize
75.11,55.22,21.7,26.66,67.92,6.32,92.38,Maize
91.09,54.1,21.27,24.9,70.85,7.19,93.11,Maize
78.33,50.73,23.02,20.66,66.84,6.3,85.36,Maize
92.78,50.96,20.12,19.44,68.73,6.82,112.04,Maize
76.92,51.1,20.62,26.05,64.52,6.64,92.6,Maize
81.87,47.77,20.49,24.92,59.87,6.57,76.25,Maize
91.95,42.38,18.6,23.35,72.83,6.47,78.06,Maize
98.81,42.76,14.5,23.49,62.49,5.99,93.85,Maize
82.44,47.18,16.8,24.46,68.25,6.45,108.08,Maize
69.3,42.37,18.27,22.4,66.22,6.38,89.4,Maize
67.48,57.22,19.79,25.01,66.71,6.73,92.12,Maize
84.48,53.21,23.32,22.94,68.55,6.46,103.0,Maize
73.24,59.0,19.9,19.28,65.64,6.16,95.51,Maize
73.47,47.77,15.28,21.48,52.88,5.71,94.51,Maize
87.86,52.13,17.58,22.39,64.98,5.92,103.79,Maize
88.77,48.9,20.07,22.97,54.79,6.38,76.48,Maize
69.98,48.59,24.49,23.94,62.14,6.79,102.49,Maize
89.25,50.3,18.38,24.07,66.97,6.95,92.94,Maize
90.5,47.32,23.29,22.94,75.38,6.16,106.7,Maize
81.98,46.74,18.79,21.78,67.12,6.76,77.83,Maize
79.76,60.71,24.32,23.48,65.19,6.56,92.67,Maize
69.77,48.71,15.83,23.4,68.24,6.26,104.67,Maize
67.74,42.68,20.56,24.86,73.42,6.27,98.48,Maize
79.61,49.14,22.21,23.97,57.12,7.24,102.25,Maize
73.74,51.98,21.24,23.09,62.25,6.16,84.68,Maize
91.73,52.72,19.07,24.24,50.76,7.07,63.25,Maize
76.38,44.4,16.76,25.11,62.66,6.67,84.41,Maize
84.77,50.38,16.79,24.74,62.53,5.72,79.65,Maize
95.01,54.25,19.13,21.71,63.39,7.54,89.77,Maize
84.3,55.15,20.6,21.92,64.02,6.46,84.53,Maize
87.28,50.26,21.83,22.32,65.39,5.5,96.45,Maize
83.46,54.99,12.76,27.2,64.3,7.05,72.0,Maize
86.13,44.73,18.44,26.81,64.05,6.61,95.88,Maize
84.96,50.75,20.91,27.91,64.71,6.6,98.13,Maize
91.06,55.94,21.6,19.93,73.17,5.93,88.78,Maize
72.46,49.68,20.82,23.22,67.11,7.31,90.67,Maize
77.56,54.82,22.97,19.74,67.99,6.85,81.28,Maize
93.76,49.25,20.31,22.11,65.08,5.95,67.0,Maize
95.95,45.77,17.52,17.65,61.81,5.84,105.53,Maize
90.1,46.56,25.63,24.71,63.38,5.25,113.64,Maize
66.1,41.77,22.56,27.99,71.92,6.78,92.43,Maize
88.53,53.79,20.7,22.73,64.69,6.12,81.49,Maize
63.07,49.51,17.53,20.02,65.9,7.2,96.48,Maize
64.29,45.05,22.35,20.29,63.88,6.78,72.9,Maize
81.05,43.33,18.5,23.22,57.04,6.72,84.75,Maize
85.52,51.12,23.41,22.78,62.85,6.56,91.79,Maize
80.49,50.2,18.25,21.01,57.99,7.37,69.45,Maize
73.07,46.41,22.24,21.84,71.24,6.16,88.49,Maize
71.65,60.73,17.03,23.2,68.17,6.71,82.68,Maize
78.7,50.22,19.63,24.67,76.05,6.22,67.88,Maize
79.12,62.9,17.99,26.19,73.39,6.22,92.11,Maize
96.28,48.1,19.49,21.19,59.93,6.18,69.7,Maize
80.34,46.15,20.58,19.0,66.65,6.92,60.08,Maize
83.74,56.14,16.98,26.26,67.1,6.15,84.3,Maize
85.58,50.38,21.35,20.43,65.85,5.79,83.61,Maize
70.96,46.32,23.09,24.96,68.05,5.95,81.04,Maize
92.13,50.71,25.8,23.38,65.96,6.35,86.67,Maize
78.48,53.54,22.39,20.73,58.34,5.58,91.35,Maize
68.97,39.24,20.97,28.11,64.97,6.92,86.02,Maize
79.01,54.6,19.27,23.1,66.61,6.17,97.4,Maize
78.25,46.22,21.34,20.48,65.14,6.5,98.57,Maize
84.75,49.87,22.04,25.63,67.79,6.51,68.6,Maize
69.35,48.47,18.48,22.08,65.28,6.76,84.12,Maize
84.87,50.32,15.06,20.39,64.28,5.9,92.5,Maize
95.31,56.09,19.47,25.85,65.74,6.33,77.33,Maize
76.98,48.06,20.43,22.86,65.02,6.72,99.88,Maize
89.5,42.58,13.62,24.6,58.17,6.39,70.37,Maize
61.98,52.71,21.9,21.2,52.04,6.23,89.9,Maize
65.21,50.92,19.96,23.8,65.6,6.01,99.96,Maize
78.41,49.86,17.67,21.5,60.58,6.41,106.4,Maize
66.28,41.93,23.68,22.03,61.65,7.02,77.43,Maize
98.26,53.39,18.78,27.35,61.97,6.87,88.74,Maize
93.02,57.81,20.08,20.8,67.3,6.16,110.17,Maize
81.37,48.17,20.46,19.47,60.14,7.1,76.79,Maize
69.53,52.68,22.96,24.12,69.98,6.12,67.23,Maize
95.01,48.39,19.37,25.49,67.78,6.73,112.06,Maize
73.56,54.64,20.14,23.1,72.64,6.75,91.73,Maize
90.73,48.18,17.9,20.15,55.17,7.53,71.21,Maize
77.79,48.62,20.77,24.34,69.3,6.21,82.91,Maize
82.83,48.76,24.02,23.6,68.67,6.83,99.67,Maize
81.81,43.52,21.0,21.03,62.36,6.79,100.48,Maize
80.21,51.54,24.26,23.04,78.01,6.78,62.99,Maize
87.53,51.91,23.22,24.01,64.31,5.89,82.39,Maize
71.49,47.1,21.47,26.26,66.97,5.9,90.56,Maize
91.97,46.95,19.66,22.53,61.08,6.82,83.49,Maize
84.2,45.56,18.91,24.13,63.14,7.36,80.0,Maize
82.25,54.66,16.45,18.54,57.37,7.13,78.1,Maize
105.58,47.18,20.46,25.97,75.03,7.53,100.1,Maize
90.24,52.96,21.95,21.26,60.91,6.5,82.87,Maize
75.47,53.48,22.39,22.7,72.39,5.93,82.58,Maize
72.83,40.67,19.79,22.23,72.57,6.82,72.2,Maize
98.54,56.11,21.46,21.99,60.2,6.31,98.61,Maize
98.85,57.72,18.78,19.98,65.7,5.62,89.04,Maize
78.52,47.67,16.01,23.66,62.34,5.92,49.1,Maize
79.72,58.86,24.15,21.47,61.99,6.73,72.52,Maize
83.02,53.83,23.07,22.27,63.98,6.06,74.66,Maize
77.74,51.84,22.28,20.69,72.46,6.36,84.73,Maize
72.53,37.88,22.21,24.16,63.59,6.53,91.45,Maize
64.37,47.35,21.99,19.68,66.47,5.82,90.83,Maize
79.64,41.92,22.91,20.85,60.95,6.6,99.36,Maize
69.84,50.31,21.07,24.06,65.88,6.32,74.66,Maize
80.86,44.64,12.7,23.48,69.52,5.32,72.38,Maize
86.19,60.29,20.05,20.86,64.09,7.19,76.93,Maize
72.01,47.59,17.62,22.78,73.12,6.66,81.85,Maize
77.08,42.18,22.21,22.32,64.1,8.1,88.73,Maize
72.48,47.87,22.87,22.75,57.81,6.96,76.65,Maize
98.73,55.4,18.88,25.38,65.34,6.93,91.06,Maize
71.54,46.78,22.57,21.75,62.98,6.02,90.29,Maize
100.63,44.66,20.06,25.68,64.6,6.73,71.72,Maize
84.28,49.06,22.46,25.17,77.95,6.79,89.07,Maize
81.94,48.23,20.85,21.84,65.84,7.16,72.42,Maize
91.4,56.59,19.7,17.73,61.96,7.15,84.71,Maize
70.01,47.48,22.1,23.73,63.81,6.32,80.1,Maize
70.78,58.08,19.19,25.24,72.61,7.0,79.6,Maize
44.04,67.35,77.74,19.91,15.23,7.59,71.52,Chickpea
42.01,69.27,79.35,20.23,16.29,7.44,64.91,Chickpea
41.26,79.62,77.5,18.65,17.77,7.09,77.63,Chickpea
44.89,71.47,82.77,20.01,16.64,7.34,89.25,Chickpea
38.67,61.41,82.77,19.35,13.74,7.42,70.99,Chickpea
39.09,69.57,80.48,20.39,16.35,7.26,73.05,Chickpea
47.39,71.35,77.66,20.86,16.2,7.4,77.75,Chickpea
58.38,66.1,79.13,19.48,16.55,7.4,62.88,Chickpea
29.46,60.83,82.38,21.64,16.84,6.92,75.53,Chickpea
51.62,61.7,80.6,20.72,17.75,7.09,82.51,Chickpea
12.97,71.74,78.36,17.21,17.77,7.69,73.97,Chickpea
49.53,77.58,83.29,21.55,18.11,7.04,62.99,Chickpea
37.54,62.23,85.43,19.28,17.18,7.28,75.33,Chickpea
56.95,63.61,80.49,18.57,15.02,6.69,74.72,Chickpea
35.71,63.17,76.48,19.4,14.74,7.38,75.62,Chickpea
25.42,65.57,78.12,19.9,19.01,6.06,75.86,Chickpea
38.4,71.7,80.53,18.56,16.52,6.6,83.07,Chickpea
40.21,79.38,79.85,18.61,14.73,6.1,63.12,Chickpea
42.67,70.68,76.05,20.62,16.28,7.07,87.09,Chickpea
48.97,65.82,77.77,16.81,15.92,6.89,67.6,Chickpea
38.69,67.98,79.44,18.69,17.25,7.22,66.82,Chickpea
54.11,66.88,80.05,20.39,17.35,7.48,77.15,Chickpea
33.88,69.76,77.14,19.64,16.95,6.9,74.04,Chickpea
21.18,64.07,80.23,19.7,15.46,7.63,68.5,Chickpea
49.69,70.17,78.38,21.72,15.21,7.46,82.5,Chickpea
33.29,76.2,79.37,19.86,17.39,6.93,81.08,Chickpea
47.93,56.57,83.26,17.42,18.55,7.56,66.82,Chickpea
35.89,60.59,79.46,19.11,18.17,7.66,85.47,Chickpea
34.38,66.19,75.79,18.49,18.45,7.81,65.74,Chickpea
34.08,67.33,80.7,18.49,17.64,6.76,74.89,Chickpea
45.46,67.54,78.91,19.36,16.87,6.81,73.06,Chickpea
55.99,71.01,79.26,20.37,16.5,7.59,77.77,Chickpea
38.93,70.3,76.07,18.09,15.21,7.07,87.99,Chickpea
62.31,71.49,81.25,17.25,16.19,6.61,70.34,Chickpea
38.32,64.55,75.05,20.43,15.39,7.12,90.56,Chickpea
30.81,51.69,79.28,20.88,19.94,6.39,78.73,Chickpea
35.35,66.84,86.61,17.62,17.38,7.23,83.14,Chickpea
40.98,69.43,79.02,19.84,16.49,7.31,72.23,Chickpea
43.77,67.32,82.82,19.44,14.34,7.63,68.21,Chickpea
33.46,63.78,83.44,16.83,21.71,7.53,76.67,Chickpea
39.45,69.28,81.3,20.31,17.83,7.04,73.52,Chickpea
38.49,66.28,82.83,20.24,12.59,7.33,76.46,Chickpea
39.81,65.07,82.81,20.68,15.84,7.2,67.71,Chickpea
26.2,63.58,82.16,20.69,17.77,7.36,78.87,Chickpea
33.59,70.2,82.0,20.44,18.78,7.35,77.64,Chickpea
50.7,67.33,77.8,19.3,15.88,6.66,73.92,Chickpea
32.08,65.58,75.27,19.77,17.0,6.59,79.94,Chickpea
49.38,57.45,78.09,18.54,15.59,7.41,73.55,Chickpea
37.35,54.98,81.59,17.95,17.09,7.14,85.2,Chickpea
26.91,48.63,80.46,21.75,18.86,7.1,71.31,Chickpea
48.07,61.42,81.19,20.13,18.59,8.38,77.94,Chickpea
34.91,67.34,75.58,18.63,16.39,6.74,76.14,Chickpea
31.78,74.51,80.0,19.49,16.51,7.08,81.19,Chickpea
31.33,63.39,79.24,17.82,15.77,6.76,81.56,Chickpea
42.63,68.71,82.13,19.33,17.59,6.95,76.99,Chickpea
34.17,52.26,79.66,21.28,18.39,7.48,84.27,Chickpea
40.89,68.73,78.46,19.1,17.92,7.6,73.95,Chickpea
35.5,67.5,81.5,17.7,13.56,6.72,65.84,Chickpea
34.92,66.58,78.87,21.32,17.49,7.15,79.67,Chickpea
28.61,73.99,79.81,20.34,15.39,6.22,81.13,Chickpea
43.76,61.86,77.83,20.91,15.22,7.82,68.25,Chickpea
46.38,65.45,81.51,18.82,16.76,7.02,67.48,Chickpea
47.41,64.29,79.43,18.26,13.16,6.9,93.09,Chickpea
47.85,67.38,79.34,19.53,17.82,6.41,83.36,Chickpea
47.15,71.99,81.1,19.52,18.01,7.3,72.34,Chickpea
34.26,68.14,83.87,17.95,14.8,7.08,75.38,Chickpea
41.73,69.02,79.44,21.36,14.6,6.59,74.23,Chickpea
23.57,66.4,84.15,19.53,17.35,6.37,70.38,Chickpea
36.25,65.51,83.2,20.2,15.33,7.12,78.74,Chickpea
51.4,77.38,77.46,18.49,15.11,6.88,78.5,Chickpea
49.87,67.03,79.2,19.69,15.75,8.04,62.94,Chickpea
41.85,80.15,80.02,19.26,16.46,6.91,85.3,Chickpea
17.88,77.08,76.44,19.17,16.36,7.29,63.01,Chickpea
44.62,80.15,76.59,19.74,16.01,7.21,75.14,Chickpea
33.59,70.55,84.51,19.26,18.08,6.35,67.83,Chickpea
44.72,76.78,80.89,19.11,17.0,6.37,79.53,Chickpea
48.82,64.67,78.82,19.83,16.34,6.97,90.75,Chickpea
37.53,65.26,78.38,20.43,16.73,6.68,84.91,Chickpea
54.2,63.75,75.33,20.76,15.97,7.4,60.22,Chickpea
48.93,59.93,81.83,19.52,15.57,6.8,80.15,Chickpea
41.06,71.15,84.94,17.54,19.43,7.05,68.26,Chickpea
26.7,66.32,82.3,19.34,19.27,6.27,74.91,Chickpea
27.48,69.77,82.22,18.97,13.09,7.1,78.28,Chickpea
44.04,75.22,77.32,20.35,18.79,6.11,77.4,Chickpea
34.96,66.99,80.87,18.89,15.99,7.02,66.85,Chickpea
29.14,71.75,77.13,20.33,17.69,6.14,69.92,Chickpea
51.94,61.37,78.84,20.08,18.18,6.87,70.52,Chickpea
54.22,78.37,82.45,19.61,15.79,6.58,78.92,Chickpea
44.18,76.26,81.63,17.62,18.58,6.5,72.12,Chickpea
42.5,79.97,87.77,20.26,16.73,7.27,81.66,Chickpea
36.79,78.72,80.58,20.12,18.0,7.21,81.29,Chickpea
33.83,64.01,77.25,20.05,18.17,7.23,87.56,Chickpea
39.94,71.68,77.27,19.02,18.04,7.42,72.8,Chickpea
39.28,58.01,79.11,20.61,17.86,7.25,75.37,Chickpea
40.07,63.37,81.75,20.03,17.74,6.74,58.85,Chickpea
50.97,64.51,77.84,20.37,16.41,7.53,79.63,Chickpea
46.84,58.96,83.03,19.83,16.45,7.07,61.68,Chickpea
44.09,61.07,76.62,17.6,18.67,6.69,86.5,Chickpea
34.64,56.83,77.21,21.04,16.77,6.73,76.2,Chickpea
45.02,74.48,83.62,19.05,15.01,6.79,76.95,Chickpea
30.36,61.52,80.86,19.44,17.05,6.62,73.27,Chickpea
30.76,73.06,82.59,17.19,15.61,6.25,70.12,Chickpea
39.17,58.44,77.7,18.25,17.31,7.03,69.59,Chickpea
41.77,64.08,79.32,21.59,19.01,6.35,81.22,Chickpea
48.11,60.32,82.05,21.42,15.32,6.54,82.63,Chickpea
42.71,70.95,80.85,19.99,15.01,7.52,83.77,Chickpea
37.71,67.23,76.17,20.14,17.86,6.97,83.43,Chickpea
36.66,71.03,77.45,19.47,16.74,7.11,72.23,Chickpea
38.69,72.66,78.91,17.49,19.62,7.69,65.31,Chickpea
46.9,64.36,80.66,19.87,16.65,6.61,69.82,Chickpea
30.84,62.3,79.83,18.61,18.02,7.74,70.65,Chickpea
42.39,70.62,81.18,19.59,18.11,7.24,65.72,Chickpea
48.69,73.05,78.09,19.55,18.02,6.9,83.05,Chickpea
63.64,62.59,76.55,19.88,18.08,6.88,85.9,Chickpea
26.61,71.83,78.49,21.65,19.99,6.62,70.88,Chickpea
48.6,65.08,79.89,19.53,14.12,6.99,69.83,Chickpea
35.07,76.52,76.86,20.52,16.58,6.86,80.93,Chickpea
43.4,71.07,82.42,19.09,16.08,6.46,68.81,Chickpea
69.49,75.28,76.62,17.85,17.72,7.27,79.12,Chickpea
37.45,66.72,80.82,19.61,13.67,6.89,68.61,Chickpea
26.31,86.16,20.92,18.79,27.3,6.12,114.45,Kidneybeans
29.55,80.35,17.17,20.57,22.68,6.14,84.33,Kidneybeans
21.87,65.66,22.44,21.57,21.89,6.01,89.03,Kidneybeans
15.56,66.14,19.23,24.96,26.08,5.66,92.29,Kidneybeans
32.66,80.55,16.04,15.27,29.68,6.1,85.46,Kidneybeans
29.01,51.03,20.01,20.24,27.31,5.75,106.93,Kidneybeans
18.06,69.1,17.76,18.58,22.51,6.16,124.32,Kidneybeans
23.24,67.74,16.38,18.83,24.87,6.66,79.98,Kidneybeans
35.98,73.73,20.7,23.46,25.93,6.1,103.8,Kidneybeans
34.18,74.35,18.44,16.53,24.49,5.8,103.57,Kidneybeans
34.28,64.64,19.89,19.63,27.12,5.44,91.35,Kidneybeans
26.58,75.0,18.77,15.28,26.55,5.84,78.23,Kidneybeans
20.32,66.35,18.49,14.54,27.24,6.32,119.66,Kidneybeans
16.47,66.24,19.98,20.85,26.67,5.82,106.84,Kidneybeans
28.43,76.6,21.76,21.28,25.21,6.35,114.22,Kidneybeans
18.54,76.27,21.74,18.5,23.8,6.07,115.42,Kidneybeans
26.48,69.45,24.25,21.91,25.48,6.24,81.77,Kidneybeans
27.98,78.81,19.45,17.59,23.37,5.73,87.34,Kidneybeans
22.22,58.72,20.04,21.53,22.73,6.38,116.49,Kidneybeans
32.73,63.39,22.14,17.04,27.23,6.04,117.45,Kidneybeans
16.18,61.91,21.49,17.37,26.16,5.66,124.08,Kidneybeans
15.76,70.95,21.56,17.93,26.46,6.07,92.88,Kidneybeans
17.44,55.23,20.87,15.98,25.24,5.93,120.28,Kidneybeans
22.73,65.44,21.83,20.25,25.79,6.12,70.45,Kidneybeans
30.68,71.33,17.46,18.95,24.9,5.97,112.51,Kidneybeans
35.74,74.26,16.72,20.9,28.32,6.1,129.55,Kidneybeans
40.09,73.9,20.62,21.85,25.36,6.01,97.09,Kidneybeans
36.73,62.38,23.83,20.62,21.5,6.09,57.75,Kidneybeans
29.69,73.03,18.52,19.78,29.89,5.87,81.17,Kidneybeans
36.11,79.77,20.01,21.78,28.35,5.81,94.08,Kidneybeans
34.23,78.03,21.41,17.52,29.97,5.87,97.46,Kidneybeans
27.57,77.21,22.13,20.43,26.16,6.01,117.56,Kidneybeans
6.03,65.65,20.6,16.91,25.97,5.95,144.5,Kidneybeans
36.8,64.59,19.62,19.33,23.87,6.05,87.94,Kidneybeans
16.52,71.39,21.57,17.69,27.24,5.84,110.7,Kidneybeans
31.15,67.29,21.14,18.34,24.51,5.95,88.2,Kidneybeans
23.67,57.82,18.77,18.86,24.36,5.94,103.61,Kidneybeans
28.6,72.97,18.38,16.79,22.39,5.88,97.08,Kidneybeans
19.23,59.4,18.86,19.91,26.49,5.86,95.71,Kidneybeans
18.05,67.3,17.88,20.79,20.54,5.91,111.77,Kidneybeans
26.38,84.33,20.87,17.24,24.76,5.56,103.19,Kidneybeans
18.75,73.22,18.63,19.24,23.41,6.43,97.77,Kidneybeans
38.74,72.59,21.21,20.33,25.98,5.52,98.73,Kidneybeans
31.34,67.19,16.49,19.38,29.26,6.31,103.6,Kidneybeans
32.14,65.21,15.74,17.42,28.91,5.93,99.52,Kidneybeans
22.75,79.4,24.06,24.49,24.6,6.07,70.88,Kidneybeans
36.08,60.2,20.54,17.03,23.53,5.79,91.32,Kidneybeans
20.96,64.07,22.08,17.01,25.55,6.3,93.45,Kidneybeans
19.62,66.06,22.95,19.94,23.67,6.12,80.2,Kidneybeans
30.11,70.05,19.23,17.61,22.78,6.13,132.65,Kidneybeans
20.22,70.36,14.78,18.18,24.92,5.77,83.93,Kidneybeans
19.99,69.33,19.53,14.46,19.7,5.85,115.3,Kidneybeans
4.39,64.38,18.68,22.62,24.04,6.1,108.18,Kidneybeans
9.02,72.3,20.54,20.64,34.82,5.48,143.81,Kidneybeans
22.84,69.3,19.89,18.55,23.58,6.08,70.86,Kidneybeans
30.63,64.9,17.17,18.49,28.14,5.87,113.07,Kidneybeans
19.52,72.24,21.71,23.66,24.56,6.17,107.21,Kidneybeans
34.72,63.01,21.86,19.06,24.84,6.02,110.68,Kidneybeans
24.13,68.84,23.95,21.72,27.17,5.89,84.99,Kidneybeans
32.16,72.98,23.68,18.14,24.43,5.59,96.17,Kidneybeans
